Saskatoon — Condominiums  
2016 Tenure - Total
,Part of a Condominium,Not Part of a Condominium,Total,
0002.01,10,"1,110","1,125",
0003.00,410,"1,905","2,315",
0004.00,230,"2,210","2,440",
0005.00,135,"2,715","2,860",
0006.01,145,"1,895","2,035",
0006.02,25,"1,590","1,620",
0006.03,375,"1,620","2,005",
0006.04,60,"1,425","1,485",
0007.00,30,625,655,
0008.00,675,"1,060","1,735",
0009.00,465,"1,830","2,295",
0010.00,415,"2,510","2,925",
0011.01,135,"1,230","1,360",
0011.02,170,"1,325","1,500",
0011.03,170,815,990,
0012.01,225,"1,760","1,990",
0012.02,135,"1,540","1,675",
0012.03,610,"1,215","1,825",
0012.06,"2,185","1,480","3,665",
0012.08,510,"1,095","1,600",
0012.09,200,"1,010","1,205",
0013.01,335,"1,880","2,215",
0013.02,435,"1,810","2,245",
0013.04,665,"2,570","3,235",
0013.06,130,"1,145","1,275",
0013.07,200,870,"1,065",
0014.00,190,"1,940","2,130",
0015.00,580,"2,165","2,740",
0016.00,40,715,760,
0017.00,105,"1,535","1,640",
0018.01,80,"1,290","1,370",
0018.02,25,"1,380","1,400",
0018.03,65,"2,205","2,270",
0019.00,20,"1,560","1,575",
0020.00,45,"1,805","1,850",
0021.01,35,"1,560","1,595",
0021.02,"1,045","1,470","2,510",
0021.03,490,"1,445","1,940",
0021.04,15,"1,720","1,740",
0021.05,105,"1,775","1,880",
0022.00,0,55,55,
0100.04,20,"1,455","1,475",
0104.01,0,145,145,
Saskatoon,"20,235","95,050","115,280",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
"The 2006 Census did not identify rented condominiums. Therefore, data for 2006 include only owner-occupied condominiums."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
