Fredericton — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"4,775","8,125","7,030","5,510","3,700","5,760","34,895",
2011,"4,810","7,645","6,865","5,665","4,375","9,680","39,040",
2016,"4,255","7,495","7,365","6,385","5,070","12,205","42,775",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
