Edmonton — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"48,240","74,255","70,005","60,340","49,265","103,165","405,275",
2011,"43,540","61,055","63,990","59,635","53,790","168,790","450,795",
2016,"27,880","56,525","61,775","62,590","57,600","235,780","502,140",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
