Saint John — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"12,520","17,525","8,245","7,360","3,480","49,125",
2011,"13,505","19,270","8,610","7,570","3,165","52,135",
2016,"14,845","19,810","8,390","6,650","3,185","52,875",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
