Ottawa — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"133,125","88,565","221,690",
2011,"150,655","97,615","248,270",
2016,"160,590","101,975","262,565",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
