Fredericton — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"14,250","10,700","24,950",
2011,"16,150","11,710","27,860",
2016,"18,485","11,760","30,245",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
