St. Catharines - Niagara — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"62,040","53,935","115,975",
2011,"65,135","53,645","118,785",
2016,"69,350","52,485","121,830",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
