Oshawa — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"11,105","17,200","19,730","18,980","16,145","35,865","119,015",
2011,"11,180","17,665","20,935","17,715","16,170","46,035","129,695",
2016,"8,375","17,395","19,940","18,550","17,335","57,370","138,960",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
