Québec — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"51,655","73,845","63,475","49,270","31,900","46,510","316,650",
2011,"47,490","70,025","65,660","51,715","39,310","71,685","345,885",
2016,"32,995","65,205","67,090","54,010","42,450","100,145","361,890",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
