Winnipeg — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"110,260","78,495","188,755",
2011,"119,145","79,410","198,555",
2016,"129,250","76,335","205,585",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
