Saskatoon — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"38,135","24,945","63,080",
2011,"44,150","27,315","71,470",
2016,"52,445","27,730","80,180",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
