Québec — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"110,740","74,620","185,360",
2011,"124,720","81,310","206,030",
2016,"136,840","80,575","217,415",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
