Halifax — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"23,825","33,080","28,590","23,690","17,020","28,925","155,125",
2011,"21,940","29,780","28,085","23,720","19,050","42,575","165,150",
2016,"18,130","28,240","28,410","24,625","20,750","53,305","173,460",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
