Winnipeg — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"44,035","64,130","54,805","42,365","28,945","47,480","281,760",
2011,"38,180","54,810","52,655","42,605","32,275","70,820","291,340",
2016,"28,055","49,120","50,895","44,810","37,270","96,400","306,550",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
