London — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"51,975","62,555","28,570","27,110","14,735","184,950",
2011,"55,960","67,515","29,835","27,645","14,100","195,060",
2016,"62,210","71,790","30,625","27,020","14,800","206,450",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
