Edmonton — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"169,730","109,210","278,940",
2011,"192,510","123,280","315,790",
2016,"225,915","121,345","347,260",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
