Edmonton — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"107,130","134,665","64,275","62,300","36,895","405,275",
2011,"116,005","151,555","73,735","68,970","40,535","450,795",
2016,"123,650","168,720","82,530","77,135","50,115","502,140",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
