Kitchener - Cambridge - Waterloo — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"74,935","42,815","117,750",
2011,"80,695","46,305","127,005",
2016,"86,645","48,920","135,565",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
