Vancouver — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"131,545","160,980","147,235","117,105","83,510","176,865","817,225",
2011,"131,480","148,295","142,875","120,390","94,970","253,300","891,310",
2016,"110,775","144,450","142,570","126,425","103,820","332,855","960,895",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
