Ottawa — Historical Household Income - Income Ranges (Before Taxes)  
2006 to 2016 Tenure - Total
,"Less Than $20,000","$20,000 to $39,999","$40,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 And Over",Total,
2006,"37,995","51,050","52,350","49,680","40,085","102,160","333,320",
2011,"35,675","45,185","53,170","49,475","43,660","140,005","367,170",
2016,"32,480","46,425","51,810","50,770","47,395","166,510","395,400",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
