Québec — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"104,200","113,240","47,220","38,065","13,930","316,650",
2011,"119,575","124,965","47,180","39,700","14,465","345,885",
2016,"127,520","130,665","46,490","41,020","16,195","361,890",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
