Toronto — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"412,455","489,105","320,935","338,390","240,375","1,801,255",
2011,"469,760","548,335","352,350","365,105","254,140","1,989,695",
2016,"519,930","598,720","373,885","377,120","266,255","2,135,910",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
