Halifax — Historical Household Size  
2006 to 2016 Tenure - Total
,One-Person Household,Two-Person Household,Three-Person Household,Four-Person Household,Five-Or-More-Person Household,Total,
2006,"43,030","55,145","25,725","21,730","9,505","155,125",
2011,"46,785","60,590","27,060","21,460","9,255","165,150",
2016,"51,215","64,425","27,235","21,020","9,565","173,460",

Notes
"Where band housing is present, total dwelling counts are larger than the sum of owned and rented dwellings."
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
