Toronto — Historical Mortgages  
2006 to 2016
,With a Mortgage,Without a Mortgage,Total Private Households With Mortgage Status Known,
2006,"750,380","465,825","1,216,205",
2011,"843,795","513,525","1,357,325",
2016,"896,520","522,270","1,418,790",

Notes
Mortgage data exclude farm operators.
Source,"CMHC, adapted from Statistics Canada (Census of Canada and National Household Survey)"
