"GeoUID","Date","DateString","Bedroom Type","Value","Quality","Survey","Series"
"59944",1990-10-01,"1990 October","Studio",342,"Excellent","Rms","Average Rent"
"59944",1990-10-01,"1990 October","1 Bedroom",390,"Excellent","Rms","Average Rent"
"59944",1990-10-01,"1990 October","2 Bedroom",477,"Excellent","Rms","Average Rent"
"59944",1990-10-01,"1990 October","3 Bedroom +",541,"Excellent","Rms","Average Rent"
"59944",1990-10-01,"1990 October","Total",454,"Excellent","Rms","Average Rent"
"59944",1991-10-01,"1991 October","Studio",371,"Excellent","Rms","Average Rent"
"59944",1991-10-01,"1991 October","1 Bedroom",427,"Excellent","Rms","Average Rent"
"59944",1991-10-01,"1991 October","2 Bedroom",517,"Excellent","Rms","Average Rent"
"59944",1991-10-01,"1991 October","3 Bedroom +",556,"Excellent","Rms","Average Rent"
"59944",1991-10-01,"1991 October","Total",489,"Excellent","Rms","Average Rent"
"59944",1992-10-01,"1992 October","Studio",375,"Excellent","Rms","Average Rent"
"59944",1992-10-01,"1992 October","1 Bedroom",442,"Excellent","Rms","Average Rent"
"59944",1992-10-01,"1992 October","2 Bedroom",533,"Excellent","Rms","Average Rent"
"59944",1992-10-01,"1992 October","3 Bedroom +",576,"Excellent","Rms","Average Rent"
"59944",1992-10-01,"1992 October","Total",505,"Excellent","Rms","Average Rent"
"59944",1993-10-01,"1993 October","Studio",386,"Excellent","Rms","Average Rent"
"59944",1993-10-01,"1993 October","1 Bedroom",450,"Excellent","Rms","Average Rent"
"59944",1993-10-01,"1993 October","2 Bedroom",542,"Excellent","Rms","Average Rent"
"59944",1993-10-01,"1993 October","3 Bedroom +",587,"Excellent","Rms","Average Rent"
"59944",1993-10-01,"1993 October","Total",512,"Excellent","Rms","Average Rent"
"59944",1994-10-01,"1994 October","Studio",379,"Excellent","Rms","Average Rent"
"59944",1994-10-01,"1994 October","1 Bedroom",453,"Excellent","Rms","Average Rent"
"59944",1994-10-01,"1994 October","2 Bedroom",544,"Excellent","Rms","Average Rent"
"59944",1994-10-01,"1994 October","3 Bedroom +",632,"Excellent","Rms","Average Rent"
"59944",1994-10-01,"1994 October","Total",518,"Excellent","Rms","Average Rent"
"59944",1995-10-01,"1995 October","Studio",390,"Excellent","Rms","Average Rent"
"59944",1995-10-01,"1995 October","1 Bedroom",464,"Excellent","Rms","Average Rent"
"59944",1995-10-01,"1995 October","2 Bedroom",551,"Excellent","Rms","Average Rent"
"59944",1995-10-01,"1995 October","3 Bedroom +",635,"Excellent","Rms","Average Rent"
"59944",1995-10-01,"1995 October","Total",525,"Excellent","Rms","Average Rent"
"59944",1996-10-01,"1996 October","Studio",402,"Excellent","Rms","Average Rent"
"59944",1996-10-01,"1996 October","1 Bedroom",469,"Excellent","Rms","Average Rent"
"59944",1996-10-01,"1996 October","2 Bedroom",558,"Excellent","Rms","Average Rent"
"59944",1996-10-01,"1996 October","3 Bedroom +",648,"Excellent","Rms","Average Rent"
"59944",1996-10-01,"1996 October","Total",532,"Excellent","Rms","Average Rent"
"59944",1997-10-01,"1997 October","Studio",391,"Excellent","Rms","Average Rent"
"59944",1997-10-01,"1997 October","1 Bedroom",465,"Excellent","Rms","Average Rent"
"59944",1997-10-01,"1997 October","2 Bedroom",555,"Excellent","Rms","Average Rent"
"59944",1997-10-01,"1997 October","3 Bedroom +",635,"Excellent","Rms","Average Rent"
"59944",1997-10-01,"1997 October","Total",527,"Excellent","Rms","Average Rent"
"59944",1998-10-01,"1998 October","Studio",390,"Excellent","Rms","Average Rent"
