Saskatoon — Historical Condominium Apartment Average Rent ($) by Bedroom Type  
2007 to 2023
,Bachelor,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total,,
2007,**,,**,,**,,**,,**,,
2008,**,,**,,**,,**,,**,,
2009,**,,**,,**,,**,,**,,
2010,**,,**,,**,,**,,**,,
2011,**,,**,,**,,**,,**,,
2012,**,,**,,**,,**,,**,,
2013,**,,**,,**,,**,,**,,
2014,**,,**,,**,,**,,**,,
2015,**,,**,,**,,**,,**,,
2016,**,,"1,050",c ,"1,328",c ,**,,"1,340",b ,
2017,**,,903,c ,"1,263",b ,"1,308",c ,"1,255",b ,
2018,**,,"1,073",c ,"1,200",b ,"1,200",b ,"1,251",b ,
2019,**,,893,b ,"1,179",b ,"1,345",b ,"1,251",b ,
2020,**,,944,b ,"1,279",b ,"1,300",c ,"1,305",b ,
2021,**,,936,b ,"1,208",b ,"1,490",c ,"1,327",b ,
2022,**,,**,,"1,346",c ,**,,"1,396",b ,
2023,**,,"1,169",d ,"1,449",b ,**,,"1,476",a ,

Source,CMHC Secondary Rental Market Survey
