"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"48820",2006-07-01,"2006","Average Household Income Before Taxes",90856,"Census","Income"
"48820",2006-07-01,"2006","Median Household Income Before Taxes",77438,"Census","Income"
"48820",2006-07-01,"2006","Average Household Income After Taxes",74514,"Census","Income"
"48820",2006-07-01,"2006","Median Household Income After Taxes",64726,"Census","Income"
"48820",2011-07-01,"2011","Average Household Income Before Taxes",116258,"Census","Income"
"48820",2011-07-01,"2011","Median Household Income Before Taxes",96898,"Census","Income"
"48820",2011-07-01,"2011","Average Household Income After Taxes",92601,"Census","Income"
"48820",2011-07-01,"2011","Median Household Income After Taxes",81525,"Census","Income"
"48820",2016-07-01,"2016","Average Household Income Before Taxes",142284,"Census","Income"
"48820",2016-07-01,"2016","Median Household Income Before Taxes",116817,"Census","Income"
"48820",2016-07-01,"2016","Average Household Income After Taxes",113799,"Census","Income"
"48820",2016-07-01,"2016","Median Household Income After Taxes",97519,"Census","Income"
"48820",2021-07-01,"2021","Average Household Income Before Taxes",135000,"Census","Income"
"48820",2021-07-01,"2021","Median Household Income Before Taxes",117000,"Census","Income"
"48820",2021-07-01,"2021","Average Household Income After Taxes",110900,"Census","Income"
"48820",2021-07-01,"2021","Median Household Income After Taxes",1e+05,"Census","Income"
