"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35595",2006-07-01,"2006","Average Household Income Before Taxes",64470,"Census","Income"
"35595",2006-07-01,"2006","Median Household Income Before Taxes",53686,"Census","Income"
"35595",2006-07-01,"2006","Average Household Income After Taxes",54090,"Census","Income"
"35595",2006-07-01,"2006","Median Household Income After Taxes",46600,"Census","Income"
"35595",2011-07-01,"2011","Average Household Income Before Taxes",72822,"Census","Income"
"35595",2011-07-01,"2011","Median Household Income Before Taxes",59469,"Census","Income"
"35595",2011-07-01,"2011","Average Household Income After Taxes",62299,"Census","Income"
"35595",2011-07-01,"2011","Median Household Income After Taxes",53060,"Census","Income"
"35595",2016-07-01,"2016","Average Household Income Before Taxes",84321,"Census","Income"
"35595",2016-07-01,"2016","Median Household Income Before Taxes",68589,"Census","Income"
"35595",2016-07-01,"2016","Average Household Income After Taxes",71232,"Census","Income"
"35595",2016-07-01,"2016","Median Household Income After Taxes",60855,"Census","Income"
"35595",2021-07-01,"2021","Average Household Income Before Taxes",96100,"Census","Income"
"35595",2021-07-01,"2021","Median Household Income Before Taxes",80000,"Census","Income"
"35595",2021-07-01,"2021","Average Household Income After Taxes",81800,"Census","Income"
"35595",2021-07-01,"2021","Median Household Income After Taxes",71500,"Census","Income"
