"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"48850",2006-07-01,"2006","Average Household Income Before Taxes",92638,"Census","Income"
"48850",2006-07-01,"2006","Median Household Income Before Taxes",76684,"Census","Income"
"48850",2006-07-01,"2006","Average Household Income After Taxes",76036,"Census","Income"
"48850",2006-07-01,"2006","Median Household Income After Taxes",65195,"Census","Income"
"48850",2011-07-01,"2011","Average Household Income Before Taxes",97229,"Census","Income"
"48850",2011-07-01,"2011","Median Household Income Before Taxes",90151,"Census","Income"
"48850",2011-07-01,"2011","Average Household Income After Taxes",80898,"Census","Income"
"48850",2011-07-01,"2011","Median Household Income After Taxes",76119,"Census","Income"
"48850",2016-07-01,"2016","Average Household Income Before Taxes",118776,"Census","Income"
"48850",2016-07-01,"2016","Median Household Income Before Taxes",105508,"Census","Income"
"48850",2016-07-01,"2016","Average Household Income After Taxes",97226,"Census","Income"
"48850",2016-07-01,"2016","Median Household Income After Taxes",88595,"Census","Income"
"48850",2021-07-01,"2021","Average Household Income Before Taxes",113200,"Census","Income"
"48850",2021-07-01,"2021","Median Household Income Before Taxes",102000,"Census","Income"
"48850",2021-07-01,"2021","Average Household Income After Taxes",95000,"Census","Income"
"48850",2021-07-01,"2021","Median Household Income After Taxes",88000,"Census","Income"
