"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"46605",2016-07-01,"2016","Average Household Income Before Taxes",75834,"Census","Income"
"46605",2016-07-01,"2016","Median Household Income Before Taxes",61326,"Census","Income"
"46605",2016-07-01,"2016","Average Household Income After Taxes",64232,"Census","Income"
"46605",2016-07-01,"2016","Median Household Income After Taxes",54963,"Census","Income"
"46605",2021-07-01,"2021","Average Household Income Before Taxes",86000,"Census","Income"
"46605",2021-07-01,"2021","Median Household Income Before Taxes",72500,"Census","Income"
"46605",2021-07-01,"2021","Average Household Income After Taxes",73300,"Census","Income"
"46605",2021-07-01,"2021","Median Household Income After Taxes",64500,"Census","Income"
