"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35531",2006-07-01,"2006","Average Household Income Before Taxes",83275,"Census","Income"
"35531",2006-07-01,"2006","Median Household Income Before Taxes",69740,"Census","Income"
"35531",2006-07-01,"2006","Average Household Income After Taxes",67435,"Census","Income"
"35531",2006-07-01,"2006","Median Household Income After Taxes",59516,"Census","Income"
"35531",2011-07-01,"2011","Average Household Income Before Taxes",91615,"Census","Income"
"35531",2011-07-01,"2011","Median Household Income Before Taxes",77246,"Census","Income"
"35531",2011-07-01,"2011","Average Household Income After Taxes",77041,"Census","Income"
"35531",2011-07-01,"2011","Median Household Income After Taxes",66764,"Census","Income"
"35531",2016-07-01,"2016","Average Household Income Before Taxes",98830,"Census","Income"
"35531",2016-07-01,"2016","Median Household Income Before Taxes",85361,"Census","Income"
"35531",2016-07-01,"2016","Average Household Income After Taxes",82669,"Census","Income"
"35531",2016-07-01,"2016","Median Household Income After Taxes",74815,"Census","Income"
"35531",2021-07-01,"2021","Average Household Income Before Taxes",122400,"Census","Income"
"35531",2021-07-01,"2021","Median Household Income Before Taxes",1e+05,"Census","Income"
"35531",2021-07-01,"2021","Average Household Income After Taxes",101500,"Census","Income"
"35531",2021-07-01,"2021","Median Household Income After Taxes",87000,"Census","Income"
