"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"59933",2006-07-01,"2006","Average Household Income Before Taxes",73258,"Census","Income"
"59933",2006-07-01,"2006","Median Household Income Before Taxes",55231,"Census","Income"
"59933",2006-07-01,"2006","Average Household Income After Taxes",60629,"Census","Income"
"59933",2006-07-01,"2006","Median Household Income After Taxes",48527,"Census","Income"
"59933",2011-07-01,"2011","Average Household Income Before Taxes",83666,"Census","Income"
"59933",2011-07-01,"2011","Median Household Income Before Taxes",63347,"Census","Income"
"59933",2011-07-01,"2011","Average Household Income After Taxes",70806,"Census","Income"
"59933",2011-07-01,"2011","Median Household Income After Taxes",56660,"Census","Income"
"59933",2016-07-01,"2016","Average Household Income Before Taxes",96423,"Census","Income"
"59933",2016-07-01,"2016","Median Household Income Before Taxes",72585,"Census","Income"
"59933",2016-07-01,"2016","Average Household Income After Taxes",79422,"Census","Income"
"59933",2016-07-01,"2016","Median Household Income After Taxes",63361,"Census","Income"
"59933",2021-07-01,"2021","Average Household Income Before Taxes",117300,"Census","Income"
"59933",2021-07-01,"2021","Median Household Income Before Taxes",90000,"Census","Income"
"59933",2021-07-01,"2021","Average Household Income After Taxes",96800,"Census","Income"
"59933",2021-07-01,"2021","Median Household Income After Taxes",79500,"Census","Income"
