"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"59907",2006-07-01,"2006","Average Household Income Before Taxes",51717,"Census","Income"
"59907",2006-07-01,"2006","Median Household Income Before Taxes",43214,"Census","Income"
"59907",2006-07-01,"2006","Average Household Income After Taxes",44778,"Census","Income"
"59907",2006-07-01,"2006","Median Household Income After Taxes",38769,"Census","Income"
"59907",2011-07-01,"2011","Average Household Income Before Taxes",65109,"Census","Income"
"59907",2011-07-01,"2011","Median Household Income Before Taxes",48077,"Census","Income"
"59907",2011-07-01,"2011","Average Household Income After Taxes",55574,"Census","Income"
"59907",2011-07-01,"2011","Median Household Income After Taxes",43874,"Census","Income"
"59907",2016-07-01,"2016","Average Household Income Before Taxes",72633,"Census","Income"
"59907",2016-07-01,"2016","Median Household Income Before Taxes",58836,"Census","Income"
"59907",2016-07-01,"2016","Average Household Income After Taxes",62300,"Census","Income"
"59907",2016-07-01,"2016","Median Household Income After Taxes",52198,"Census","Income"
"59907",2021-07-01,"2021","Average Household Income Before Taxes",91700,"Census","Income"
"59907",2021-07-01,"2021","Median Household Income Before Taxes",74500,"Census","Income"
"59907",2021-07-01,"2021","Average Household Income After Taxes",78800,"Census","Income"
"59907",2021-07-01,"2021","Median Household Income After Taxes",67000,"Census","Income"
