"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"47725",2006-07-01,"2006","Average Household Income Before Taxes",66059,"Census","Income"
"47725",2006-07-01,"2006","Median Household Income Before Taxes",51169,"Census","Income"
"47725",2006-07-01,"2006","Average Household Income After Taxes",54290,"Census","Income"
"47725",2006-07-01,"2006","Median Household Income After Taxes",44431,"Census","Income"
"47725",2011-07-01,"2011","Average Household Income Before Taxes",84811,"Census","Income"
"47725",2011-07-01,"2011","Median Household Income Before Taxes",68288,"Census","Income"
"47725",2011-07-01,"2011","Average Household Income After Taxes",70418,"Census","Income"
"47725",2011-07-01,"2011","Median Household Income After Taxes",59478,"Census","Income"
"47725",2016-07-01,"2016","Average Household Income Before Taxes",103445,"Census","Income"
"47725",2016-07-01,"2016","Median Household Income Before Taxes",83127,"Census","Income"
"47725",2016-07-01,"2016","Average Household Income After Taxes",84742,"Census","Income"
"47725",2016-07-01,"2016","Median Household Income After Taxes",71709,"Census","Income"
"47725",2021-07-01,"2021","Average Household Income Before Taxes",107300,"Census","Income"
"47725",2021-07-01,"2021","Median Household Income Before Taxes",88000,"Census","Income"
"47725",2021-07-01,"2021","Average Household Income After Taxes",89700,"Census","Income"
"47725",2021-07-01,"2021","Median Household Income After Taxes",77500,"Census","Income"
