"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35575",2006-07-01,"2006","Average Household Income Before Taxes",61159,"Census","Income"
"35575",2006-07-01,"2006","Median Household Income Before Taxes",48969,"Census","Income"
"35575",2006-07-01,"2006","Average Household Income After Taxes",51386,"Census","Income"
"35575",2006-07-01,"2006","Median Household Income After Taxes",42953,"Census","Income"
"35575",2011-07-01,"2011","Average Household Income Before Taxes",73342,"Census","Income"
"35575",2011-07-01,"2011","Median Household Income Before Taxes",60089,"Census","Income"
"35575",2011-07-01,"2011","Average Household Income After Taxes",62662,"Census","Income"
"35575",2011-07-01,"2011","Median Household Income After Taxes",52936,"Census","Income"
"35575",2016-07-01,"2016","Average Household Income Before Taxes",80629,"Census","Income"
"35575",2016-07-01,"2016","Median Household Income Before Taxes",64566,"Census","Income"
"35575",2016-07-01,"2016","Average Household Income After Taxes",68031,"Census","Income"
"35575",2016-07-01,"2016","Median Household Income After Taxes",57253,"Census","Income"
"35575",2021-07-01,"2021","Average Household Income Before Taxes",93000,"Census","Income"
"35575",2021-07-01,"2021","Median Household Income Before Taxes",76500,"Census","Income"
"35575",2021-07-01,"2021","Average Household Income After Taxes",79300,"Census","Income"
"35575",2021-07-01,"2021","Median Household Income After Taxes",68000,"Census","Income"
