"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"48832",2016-07-01,"2016","Average Household Income Before Taxes",114141,"Census","Income"
"48832",2016-07-01,"2016","Median Household Income Before Taxes",91586,"Census","Income"
"48832",2016-07-01,"2016","Average Household Income After Taxes",94117,"Census","Income"
"48832",2016-07-01,"2016","Median Household Income After Taxes",79504,"Census","Income"
"48832",2021-07-01,"2021","Average Household Income Before Taxes",101800,"Census","Income"
"48832",2021-07-01,"2021","Median Household Income Before Taxes",89000,"Census","Income"
"48832",2021-07-01,"2021","Average Household Income After Taxes",86700,"Census","Income"
"48832",2021-07-01,"2021","Median Household Income After Taxes",78000,"Census","Income"
