"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"59970",2006-07-01,"2006","Average Household Income Before Taxes",69859,"Census","Income"
"59970",2006-07-01,"2006","Median Household Income Before Taxes",60576,"Census","Income"
"59970",2006-07-01,"2006","Average Household Income After Taxes",58559,"Census","Income"
"59970",2006-07-01,"2006","Median Household Income After Taxes",52274,"Census","Income"
"59970",2011-07-01,"2011","Average Household Income Before Taxes",76074,"Census","Income"
"59970",2011-07-01,"2011","Median Household Income Before Taxes",65265,"Census","Income"
"59970",2011-07-01,"2011","Average Household Income After Taxes",65320,"Census","Income"
"59970",2011-07-01,"2011","Median Household Income After Taxes",57959,"Census","Income"
"59970",2016-07-01,"2016","Average Household Income Before Taxes",93755,"Census","Income"
"59970",2016-07-01,"2016","Median Household Income Before Taxes",78518,"Census","Income"
"59970",2016-07-01,"2016","Average Household Income After Taxes",78120,"Census","Income"
"59970",2016-07-01,"2016","Median Household Income After Taxes",67537,"Census","Income"
"59970",2021-07-01,"2021","Average Household Income Before Taxes",107200,"Census","Income"
"59970",2021-07-01,"2021","Median Household Income Before Taxes",91000,"Census","Income"
"59970",2021-07-01,"2021","Average Household Income After Taxes",90900,"Census","Income"
"59970",2021-07-01,"2021","Median Household Income After Taxes",80000,"Census","Income"
