"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"59965",2006-07-01,"2006","Average Household Income Before Taxes",60090,"Census","Income"
"59965",2006-07-01,"2006","Median Household Income Before Taxes",50361,"Census","Income"
"59965",2006-07-01,"2006","Average Household Income After Taxes",51748,"Census","Income"
"59965",2006-07-01,"2006","Median Household Income After Taxes",44912,"Census","Income"
"59965",2011-07-01,"2011","Average Household Income Before Taxes",69419,"Census","Income"
"59965",2011-07-01,"2011","Median Household Income Before Taxes",57070,"Census","Income"
"59965",2011-07-01,"2011","Average Household Income After Taxes",60604,"Census","Income"
"59965",2011-07-01,"2011","Median Household Income After Taxes",51973,"Census","Income"
"59965",2016-07-01,"2016","Average Household Income Before Taxes",87184,"Census","Income"
"59965",2016-07-01,"2016","Median Household Income Before Taxes",73894,"Census","Income"
"59965",2016-07-01,"2016","Average Household Income After Taxes",73746,"Census","Income"
"59965",2016-07-01,"2016","Median Household Income After Taxes",64419,"Census","Income"
"59965",2021-07-01,"2021","Average Household Income Before Taxes",103400,"Census","Income"
"59965",2021-07-01,"2021","Median Household Income Before Taxes",90000,"Census","Income"
"59965",2021-07-01,"2021","Average Household Income After Taxes",89100,"Census","Income"
"59965",2021-07-01,"2021","Median Household Income After Taxes",80000,"Census","Income"
