"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"59975",2006-07-01,"2006","Average Household Income Before Taxes",62253,"Census","Income"
"59975",2006-07-01,"2006","Median Household Income Before Taxes",50848,"Census","Income"
"59975",2006-07-01,"2006","Average Household Income After Taxes",53035,"Census","Income"
"59975",2006-07-01,"2006","Median Household Income After Taxes",45989,"Census","Income"
"59975",2011-07-01,"2011","Average Household Income Before Taxes",73312,"Census","Income"
"59975",2011-07-01,"2011","Median Household Income Before Taxes",58416,"Census","Income"
"59975",2011-07-01,"2011","Average Household Income After Taxes",63100,"Census","Income"
"59975",2011-07-01,"2011","Median Household Income After Taxes",52997,"Census","Income"
"59975",2016-07-01,"2016","Average Household Income Before Taxes",91491,"Census","Income"
"59975",2016-07-01,"2016","Median Household Income Before Taxes",79195,"Census","Income"
"59975",2016-07-01,"2016","Average Household Income After Taxes",76253,"Census","Income"
"59975",2016-07-01,"2016","Median Household Income After Taxes",67905,"Census","Income"
"59975",2021-07-01,"2021","Average Household Income Before Taxes",101000,"Census","Income"
"59975",2021-07-01,"2021","Median Household Income Before Taxes",84000,"Census","Income"
"59975",2021-07-01,"2021","Average Household Income After Taxes",85900,"Census","Income"
"59975",2021-07-01,"2021","Median Household Income After Taxes",75000,"Census","Income"
