"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"13328",2006-07-01,"2006","Average Household Income Before Taxes",53535,"Census","Income"
"13328",2006-07-01,"2006","Median Household Income Before Taxes",43668,"Census","Income"
"13328",2006-07-01,"2006","Average Household Income After Taxes",44880,"Census","Income"
"13328",2006-07-01,"2006","Median Household Income After Taxes",38702,"Census","Income"
"13328",2011-07-01,"2011","Average Household Income Before Taxes",60514,"Census","Income"
"13328",2011-07-01,"2011","Median Household Income Before Taxes",49028,"Census","Income"
"13328",2011-07-01,"2011","Average Household Income After Taxes",51828,"Census","Income"
"13328",2011-07-01,"2011","Median Household Income After Taxes",44221,"Census","Income"
"13328",2016-07-01,"2016","Average Household Income Before Taxes",67935,"Census","Income"
"13328",2016-07-01,"2016","Median Household Income Before Taxes",53197,"Census","Income"
"13328",2016-07-01,"2016","Average Household Income After Taxes",57615,"Census","Income"
"13328",2016-07-01,"2016","Median Household Income After Taxes",48219,"Census","Income"
"13328",2021-07-01,"2021","Average Household Income Before Taxes",76600,"Census","Income"
"13328",2021-07-01,"2021","Median Household Income Before Taxes",62800,"Census","Income"
"13328",2021-07-01,"2021","Average Household Income After Taxes",65600,"Census","Income"
"13328",2021-07-01,"2021","Median Household Income After Taxes",56400,"Census","Income"
