"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35516",2006-07-01,"2006","Average Household Income Before Taxes",70502,"Census","Income"
"35516",2006-07-01,"2006","Median Household Income Before Taxes",65096,"Census","Income"
"35516",2006-07-01,"2006","Average Household Income After Taxes",59687,"Census","Income"
"35516",2006-07-01,"2006","Median Household Income After Taxes",55264,"Census","Income"
"35516",2011-07-01,"2011","Average Household Income Before Taxes",84112,"Census","Income"
"35516",2011-07-01,"2011","Median Household Income Before Taxes",76392,"Census","Income"
"35516",2011-07-01,"2011","Average Household Income After Taxes",72394,"Census","Income"
"35516",2011-07-01,"2011","Median Household Income After Taxes",66350,"Census","Income"
"35516",2016-07-01,"2016","Average Household Income Before Taxes",94242,"Census","Income"
"35516",2016-07-01,"2016","Median Household Income Before Taxes",85986,"Census","Income"
"35516",2016-07-01,"2016","Average Household Income After Taxes",79800,"Census","Income"
"35516",2016-07-01,"2016","Median Household Income After Taxes",74147,"Census","Income"
"35516",2021-07-01,"2021","Average Household Income Before Taxes",112000,"Census","Income"
"35516",2021-07-01,"2021","Median Household Income Before Taxes",102000,"Census","Income"
"35516",2021-07-01,"2021","Average Household Income After Taxes",95100,"Census","Income"
"35516",2021-07-01,"2021","Median Household Income After Taxes",89000,"Census","Income"
