"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"59944",2006-07-01,"2006","Average Household Income Before Taxes",60307,"Census","Income"
"59944",2006-07-01,"2006","Median Household Income Before Taxes",51121,"Census","Income"
"59944",2006-07-01,"2006","Average Household Income After Taxes",51438,"Census","Income"
"59944",2006-07-01,"2006","Median Household Income After Taxes",45433,"Census","Income"
"59944",2011-07-01,"2011","Average Household Income Before Taxes",67937,"Census","Income"
"59944",2011-07-01,"2011","Median Household Income Before Taxes",57343,"Census","Income"
"59944",2011-07-01,"2011","Average Household Income After Taxes",59233,"Census","Income"
"59944",2011-07-01,"2011","Median Household Income After Taxes",51781,"Census","Income"
"59944",2016-07-01,"2016","Average Household Income Before Taxes",79757,"Census","Income"
"59944",2016-07-01,"2016","Median Household Income Before Taxes",65144,"Census","Income"
"59944",2016-07-01,"2016","Average Household Income After Taxes",67741,"Census","Income"
"59944",2016-07-01,"2016","Median Household Income After Taxes",57185,"Census","Income"
"59944",2021-07-01,"2021","Average Household Income Before Taxes",93400,"Census","Income"
"59944",2021-07-01,"2021","Median Household Income Before Taxes",78500,"Census","Income"
"59944",2021-07-01,"2021","Average Household Income After Taxes",80700,"Census","Income"
"59944",2021-07-01,"2021","Median Household Income After Taxes",71000,"Census","Income"
