"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35582",2006-07-01,"2006","Average Household Income Before Taxes",45891,"Census","Income"
"35582",2006-07-01,"2006","Median Household Income Before Taxes",36366,"Census","Income"
"35582",2006-07-01,"2006","Average Household Income After Taxes",40209,"Census","Income"
"35582",2006-07-01,"2006","Median Household Income After Taxes",33872,"Census","Income"
"35582",2011-07-01,"2011","Average Household Income Before Taxes",51321,"Census","Income"
"35582",2011-07-01,"2011","Median Household Income Before Taxes",41773,"Census","Income"
"35582",2011-07-01,"2011","Average Household Income After Taxes",45752,"Census","Income"
"35582",2011-07-01,"2011","Median Household Income After Taxes",39449,"Census","Income"
"35582",2016-07-01,"2016","Average Household Income Before Taxes",57539,"Census","Income"
"35582",2016-07-01,"2016","Median Household Income Before Taxes",42437,"Census","Income"
"35582",2016-07-01,"2016","Average Household Income After Taxes",50645,"Census","Income"
"35582",2016-07-01,"2016","Median Household Income After Taxes",40419,"Census","Income"
"35582",2021-07-01,"2021","Average Household Income Before Taxes",65300,"Census","Income"
"35582",2021-07-01,"2021","Median Household Income Before Taxes",50000,"Census","Income"
"35582",2021-07-01,"2021","Average Household Income After Taxes",58150,"Census","Income"
"35582",2021-07-01,"2021","Median Household Income After Taxes",47200,"Census","Income"
