"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"12220",2006-07-01,"2006","Average Household Income Before Taxes",52389,"Census","Income"
"12220",2006-07-01,"2006","Median Household Income Before Taxes",42356,"Census","Income"
"12220",2006-07-01,"2006","Average Household Income After Taxes",44144,"Census","Income"
"12220",2006-07-01,"2006","Median Household Income After Taxes",37565,"Census","Income"
"12220",2011-07-01,"2011","Average Household Income Before Taxes",62896,"Census","Income"
"12220",2011-07-01,"2011","Median Household Income Before Taxes",50595,"Census","Income"
"12220",2011-07-01,"2011","Average Household Income After Taxes",53280,"Census","Income"
"12220",2011-07-01,"2011","Median Household Income After Taxes",44944,"Census","Income"
"12220",2016-07-01,"2016","Average Household Income Before Taxes",73639,"Census","Income"
"12220",2016-07-01,"2016","Median Household Income Before Taxes",55851,"Census","Income"
"12220",2016-07-01,"2016","Average Household Income After Taxes",61046,"Census","Income"
"12220",2016-07-01,"2016","Median Household Income After Taxes",49088,"Census","Income"
"12220",2021-07-01,"2021","Average Household Income Before Taxes",80100,"Census","Income"
"12220",2021-07-01,"2021","Median Household Income Before Taxes",64000,"Census","Income"
"12220",2021-07-01,"2021","Average Household Income After Taxes",67400,"Census","Income"
"12220",2021-07-01,"2021","Median Household Income After Taxes",56800,"Census","Income"
