"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"13310",2006-07-01,"2006","Average Household Income Before Taxes",61234,"Census","Income"
"13310",2006-07-01,"2006","Median Household Income Before Taxes",49091,"Census","Income"
"13310",2006-07-01,"2006","Average Household Income After Taxes",50468,"Census","Income"
"13310",2006-07-01,"2006","Median Household Income After Taxes",42613,"Census","Income"
"13310",2011-07-01,"2011","Average Household Income Before Taxes",72185,"Census","Income"
"13310",2011-07-01,"2011","Median Household Income Before Taxes",58377,"Census","Income"
"13310",2011-07-01,"2011","Average Household Income After Taxes",60742,"Census","Income"
"13310",2011-07-01,"2011","Median Household Income After Taxes",51210,"Census","Income"
"13310",2016-07-01,"2016","Average Household Income Before Taxes",79586,"Census","Income"
"13310",2016-07-01,"2016","Median Household Income Before Taxes",63881,"Census","Income"
"13310",2016-07-01,"2016","Average Household Income After Taxes",66067,"Census","Income"
"13310",2016-07-01,"2016","Median Household Income After Taxes",56179,"Census","Income"
"13310",2021-07-01,"2021","Average Household Income Before Taxes",93700,"Census","Income"
"13310",2021-07-01,"2021","Median Household Income Before Taxes",74000,"Census","Income"
"13310",2021-07-01,"2021","Average Household Income After Taxes",77600,"Census","Income"
"13310",2021-07-01,"2021","Median Household Income After Taxes",65500,"Census","Income"
