"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35546",2006-07-01,"2006","Average Household Income Before Taxes",63110,"Census","Income"
"35546",2006-07-01,"2006","Median Household Income Before Taxes",52277,"Census","Income"
"35546",2006-07-01,"2006","Average Household Income After Taxes",52605,"Census","Income"
"35546",2006-07-01,"2006","Median Household Income After Taxes",45651,"Census","Income"
"35546",2011-07-01,"2011","Average Household Income Before Taxes",64051,"Census","Income"
"35546",2011-07-01,"2011","Median Household Income Before Taxes",52228,"Census","Income"
"35546",2011-07-01,"2011","Average Household Income After Taxes",55958,"Census","Income"
"35546",2011-07-01,"2011","Median Household Income After Taxes",48111,"Census","Income"
"35546",2016-07-01,"2016","Average Household Income Before Taxes",72221,"Census","Income"
"35546",2016-07-01,"2016","Median Household Income Before Taxes",58900,"Census","Income"
"35546",2016-07-01,"2016","Average Household Income After Taxes",62043,"Census","Income"
"35546",2016-07-01,"2016","Median Household Income After Taxes",52640,"Census","Income"
"35546",2021-07-01,"2021","Average Household Income Before Taxes",87600,"Census","Income"
"35546",2021-07-01,"2021","Median Household Income Before Taxes",73500,"Census","Income"
"35546",2021-07-01,"2021","Average Household Income After Taxes",75600,"Census","Income"
"35546",2021-07-01,"2021","Median Household Income After Taxes",66000,"Census","Income"
