"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"48821",2016-07-01,"2016","Average Household Income Before Taxes",91765,"Census","Income"
"48821",2016-07-01,"2016","Median Household Income Before Taxes",78988,"Census","Income"
"48821",2016-07-01,"2016","Average Household Income After Taxes",77726,"Census","Income"
"48821",2016-07-01,"2016","Median Household Income After Taxes",68926,"Census","Income"
"48821",2021-07-01,"2021","Average Household Income Before Taxes",97400,"Census","Income"
"48821",2021-07-01,"2021","Median Household Income Before Taxes",82000,"Census","Income"
"48821",2021-07-01,"2021","Average Household Income After Taxes",83800,"Census","Income"
"48821",2021-07-01,"2021","Median Household Income After Taxes",72000,"Census","Income"
