"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"48825",2006-07-01,"2006","Average Household Income Before Taxes",98253,"Census","Income"
"48825",2006-07-01,"2006","Median Household Income Before Taxes",68579,"Census","Income"
"48825",2006-07-01,"2006","Average Household Income After Taxes",78540,"Census","Income"
"48825",2006-07-01,"2006","Median Household Income After Taxes",58665,"Census","Income"
"48825",2011-07-01,"2011","Average Household Income Before Taxes",113152,"Census","Income"
"48825",2011-07-01,"2011","Median Household Income Before Taxes",83220,"Census","Income"
"48825",2011-07-01,"2011","Average Household Income After Taxes",91693,"Census","Income"
"48825",2011-07-01,"2011","Median Household Income After Taxes",71465,"Census","Income"
"48825",2016-07-01,"2016","Average Household Income Before Taxes",140919,"Census","Income"
"48825",2016-07-01,"2016","Median Household Income Before Taxes",99715,"Census","Income"
"48825",2016-07-01,"2016","Average Household Income After Taxes",111867,"Census","Income"
"48825",2016-07-01,"2016","Median Household Income After Taxes",84770,"Census","Income"
"48825",2021-07-01,"2021","Average Household Income Before Taxes",131600,"Census","Income"
"48825",2021-07-01,"2021","Median Household Income Before Taxes",1e+05,"Census","Income"
"48825",2021-07-01,"2021","Average Household Income After Taxes",106700,"Census","Income"
"48825",2021-07-01,"2021","Median Household Income After Taxes",87000,"Census","Income"
