"GeoUID","Date","DateString","Average and Median","Value","Survey","Series"
"35515",2006-07-01,"2006","Average Household Income Before Taxes",58732,"Census","Income"
"35515",2006-07-01,"2006","Median Household Income Before Taxes",47945,"Census","Income"
"35515",2006-07-01,"2006","Average Household Income After Taxes",50016,"Census","Income"
"35515",2006-07-01,"2006","Median Household Income After Taxes",42331,"Census","Income"
"35515",2011-07-01,"2011","Average Household Income Before Taxes",69576,"Census","Income"
"35515",2011-07-01,"2011","Median Household Income Before Taxes",54511,"Census","Income"
"35515",2011-07-01,"2011","Average Household Income After Taxes",59934,"Census","Income"
"35515",2011-07-01,"2011","Median Household Income After Taxes",49861,"Census","Income"
"35515",2016-07-01,"2016","Average Household Income Before Taxes",77315,"Census","Income"
"35515",2016-07-01,"2016","Median Household Income Before Taxes",61718,"Census","Income"
"35515",2016-07-01,"2016","Average Household Income After Taxes",65908,"Census","Income"
"35515",2016-07-01,"2016","Median Household Income After Taxes",55384,"Census","Income"
"35515",2021-07-01,"2021","Average Household Income Before Taxes",89400,"Census","Income"
"35515",2021-07-01,"2021","Median Household Income Before Taxes",73500,"Census","Income"
"35515",2021-07-01,"2021","Average Household Income After Taxes",76900,"Census","Income"
"35515",2021-07-01,"2021","Median Household Income After Taxes",65500,"Census","Income"
