"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"24454",2006-07-01,"2006","0 - 14",6340,"Census","All Households"
"24454",2006-07-01,"2006","15 - 24",5345,"Census","All Households"
"24454",2006-07-01,"2006","25 - 34",4835,"Census","All Households"
"24454",2006-07-01,"2006","35 - 44",6005,"Census","All Households"
"24454",2006-07-01,"2006","45 - 54",8950,"Census","All Households"
"24454",2006-07-01,"2006","55 - 64",8115,"Census","All Households"
"24454",2006-07-01,"2006","Total 65+",8710,"Census","All Households"
"24454",2006-07-01,"2006","Total",48295,"Census","All Households"
"24454",2011-07-01,"2011","0 - 14",5920,"Census","All Households"
"24454",2011-07-01,"2011","15 - 24",4940,"Census","All Households"
"24454",2011-07-01,"2011","25 - 34",5075,"Census","All Households"
"24454",2011-07-01,"2011","35 - 44",5060,"Census","All Households"
"24454",2011-07-01,"2011","45 - 54",7910,"Census","All Households"
"24454",2011-07-01,"2011","55 - 64",8650,"Census","All Households"
"24454",2011-07-01,"2011","Total 65+",10215,"Census","All Households"
"24454",2011-07-01,"2011","Total",47770,"Census","All Households"
"24454",2016-07-01,"2016","0 - 14",5185,"Census","All Households"
"24454",2016-07-01,"2016","15 - 24",3695,"Census","All Households"
"24454",2016-07-01,"2016","25 - 34",3960,"Census","All Households"
"24454",2016-07-01,"2016","35 - 44",4450,"Census","All Households"
"24454",2016-07-01,"2016","45 - 54",5425,"Census","All Households"
"24454",2016-07-01,"2016","55 - 64",7600,"Census","All Households"
"24454",2016-07-01,"2016","Total 65+",9825,"Census","All Households"
"24454",2016-07-01,"2016","Total",40140,"Census","All Households"
"24454",2021-07-01,"2021","0 - 14",5265,"Census","All Households"
"24454",2021-07-01,"2021","15 - 24",3510,"Census","All Households"
"24454",2021-07-01,"2021","25 - 34",3850,"Census","All Households"
"24454",2021-07-01,"2021","35 - 44",4625,"Census","All Households"
"24454",2021-07-01,"2021","45 - 54",4590,"Census","All Households"
"24454",2021-07-01,"2021","55 - 64",7065,"Census","All Households"
"24454",2021-07-01,"2021","Total 65+",11550,"Census","All Households"
"24454",2021-07-01,"2021","Total",40455,"Census","All Households"
