"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"48865",2006-07-01,"2006","0 - 14",2175,"Census","All Households"
"48865",2006-07-01,"2006","15 - 24",1540,"Census","All Households"
"48865",2006-07-01,"2006","25 - 34",1360,"Census","All Households"
"48865",2006-07-01,"2006","35 - 44",1585,"Census","All Households"
"48865",2006-07-01,"2006","45 - 54",1570,"Census","All Households"
"48865",2006-07-01,"2006","55 - 64",1245,"Census","All Households"
"48865",2006-07-01,"2006","Total 65+",2195,"Census","All Households"
"48865",2006-07-01,"2006","Total",11675,"Census","All Households"
"48865",2011-07-01,"2011","0 - 14",2335,"Census","All Households"
"48865",2011-07-01,"2011","15 - 24",1460,"Census","All Households"
"48865",2011-07-01,"2011","25 - 34",1535,"Census","All Households"
"48865",2011-07-01,"2011","35 - 44",1495,"Census","All Households"
"48865",2011-07-01,"2011","45 - 54",1745,"Census","All Households"
"48865",2011-07-01,"2011","55 - 64",1425,"Census","All Households"
"48865",2011-07-01,"2011","Total 65+",2525,"Census","All Households"
"48865",2011-07-01,"2011","Total",12525,"Census","All Households"
"48865",2016-07-01,"2016","0 - 14",2360,"Census","All Households"
"48865",2016-07-01,"2016","15 - 24",1395,"Census","All Households"
"48865",2016-07-01,"2016","25 - 34",1565,"Census","All Households"
"48865",2016-07-01,"2016","35 - 44",1585,"Census","All Households"
"48865",2016-07-01,"2016","45 - 54",1580,"Census","All Households"
"48865",2016-07-01,"2016","55 - 64",1560,"Census","All Households"
"48865",2016-07-01,"2016","Total 65+",2160,"Census","All Households"
"48865",2016-07-01,"2016","Total",12210,"Census","All Households"
"48865",2021-07-01,"2021","0 - 14",2290,"Census","All Households"
"48865",2021-07-01,"2021","15 - 24",1455,"Census","All Households"
"48865",2021-07-01,"2021","25 - 34",1395,"Census","All Households"
"48865",2021-07-01,"2021","35 - 44",1540,"Census","All Households"
"48865",2021-07-01,"2021","45 - 54",1500,"Census","All Households"
"48865",2021-07-01,"2021","55 - 64",1610,"Census","All Households"
"48865",2021-07-01,"2021","Total 65+",2330,"Census","All Households"
"48865",2021-07-01,"2021","Total",12115,"Census","All Households"
