"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"24421",2006-07-01,"2006","0 - 14",108345,"Census","All Households"
"24421",2006-07-01,"2006","15 - 24",90335,"Census","All Households"
"24421",2006-07-01,"2006","25 - 34",96205,"Census","All Households"
"24421",2006-07-01,"2006","35 - 44",101605,"Census","All Households"
"24421",2006-07-01,"2006","45 - 54",119235,"Census","All Households"
"24421",2006-07-01,"2006","55 - 64",96750,"Census","All Households"
"24421",2006-07-01,"2006","Total 65+",103045,"Census","All Households"
"24421",2006-07-01,"2006","Total",715515,"Census","All Households"
"24421",2011-07-01,"2011","0 - 14",112325,"Census","All Households"
"24421",2011-07-01,"2011","15 - 24",95370,"Census","All Households"
"24421",2011-07-01,"2011","25 - 34",106715,"Census","All Households"
"24421",2011-07-01,"2011","35 - 44",94110,"Census","All Households"
"24421",2011-07-01,"2011","45 - 54",120240,"Census","All Households"
"24421",2011-07-01,"2011","55 - 64",110715,"Census","All Households"
"24421",2011-07-01,"2011","Total 65+",126220,"Census","All Households"
"24421",2011-07-01,"2011","Total",765705,"Census","All Households"
"24421",2016-07-01,"2016","0 - 14",124275,"Census","All Households"
"24421",2016-07-01,"2016","15 - 24",89245,"Census","All Households"
"24421",2016-07-01,"2016","25 - 34",103935,"Census","All Households"
"24421",2016-07-01,"2016","35 - 44",103460,"Census","All Households"
"24421",2016-07-01,"2016","45 - 54",105020,"Census","All Households"
"24421",2016-07-01,"2016","55 - 64",116725,"Census","All Households"
"24421",2016-07-01,"2016","Total 65+",136420,"Census","All Households"
"24421",2016-07-01,"2016","Total",779085,"Census","All Households"
"24421",2021-07-01,"2021","0 - 14",133390,"Census","All Households"
"24421",2021-07-01,"2021","15 - 24",84035,"Census","All Households"
"24421",2021-07-01,"2021","25 - 34",107645,"Census","All Households"
"24421",2021-07-01,"2021","35 - 44",113110,"Census","All Households"
"24421",2021-07-01,"2021","45 - 54",97350,"Census","All Households"
"24421",2021-07-01,"2021","55 - 64",116780,"Census","All Households"
"24421",2021-07-01,"2021","Total 65+",164795,"Census","All Households"
"24421",2021-07-01,"2021","Total",817110,"Census","All Households"
