"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"59938",2006-07-01,"2006","15 - 24",1830,"Census","All Households"
"59938",2006-07-01,"2006","25 - 34",4335,"Census","All Households"
"59938",2006-07-01,"2006","35 - 44",6835,"Census","All Households"
"59938",2006-07-01,"2006","45 - 54",8555,"Census","All Households"
"59938",2006-07-01,"2006","55 - 64",7440,"Census","All Households"
"59938",2006-07-01,"2006","Total 65+",9800,"Census","All Households"
"59938",2006-07-01,"2006","Total",38800,"Census","All Households"
"59938",2011-07-01,"2011","15 - 24",1445,"Census","All Households"
"59938",2011-07-01,"2011","25 - 34",4885,"Census","All Households"
"59938",2011-07-01,"2011","35 - 44",6220,"Census","All Households"
"59938",2011-07-01,"2011","45 - 54",9005,"Census","All Households"
"59938",2011-07-01,"2011","55 - 64",8830,"Census","All Households"
"59938",2011-07-01,"2011","Total 65+",11520,"Census","All Households"
"59938",2011-07-01,"2011","Total",41900,"Census","All Households"
"59938",2016-07-01,"2016","15 - 24",1610,"Census","All Households"
"59938",2016-07-01,"2016","25 - 34",5670,"Census","All Households"
"59938",2016-07-01,"2016","35 - 44",6435,"Census","All Households"
"59938",2016-07-01,"2016","45 - 54",8035,"Census","All Households"
"59938",2016-07-01,"2016","55 - 64",9650,"Census","All Households"
"59938",2016-07-01,"2016","Total 65+",13565,"Census","All Households"
"59938",2016-07-01,"2016","Total",44960,"Census","All Households"
"59938",2021-07-01,"2021","15 - 24",1625,"Census","All Households"
"59938",2021-07-01,"2021","25 - 34",6070,"Census","All Households"
"59938",2021-07-01,"2021","35 - 44",7615,"Census","All Households"
"59938",2021-07-01,"2021","45 - 54",7580,"Census","All Households"
"59938",2021-07-01,"2021","55 - 64",9650,"Census","All Households"
"59938",2021-07-01,"2021","Total 65+",16805,"Census","All Households"
"59938",2021-07-01,"2021","Total",49350,"Census","All Households"
