"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"24456",2006-07-01,"2006","0 - 14",6350,"Census","All Households"
"24456",2006-07-01,"2006","15 - 24",5650,"Census","All Households"
"24456",2006-07-01,"2006","25 - 34",4690,"Census","All Households"
"24456",2006-07-01,"2006","35 - 44",5545,"Census","All Households"
"24456",2006-07-01,"2006","45 - 54",7265,"Census","All Households"
"24456",2006-07-01,"2006","55 - 64",6075,"Census","All Households"
"24456",2006-07-01,"2006","Total 65+",8025,"Census","All Households"
"24456",2006-07-01,"2006","Total",43595,"Census","All Households"
"24456",2011-07-01,"2011","0 - 14",6490,"Census","All Households"
"24456",2011-07-01,"2011","15 - 24",5735,"Census","All Households"
"24456",2011-07-01,"2011","25 - 34",5340,"Census","All Households"
"24456",2011-07-01,"2011","35 - 44",4925,"Census","All Households"
"24456",2011-07-01,"2011","45 - 54",7400,"Census","All Households"
"24456",2011-07-01,"2011","55 - 64",7190,"Census","All Households"
"24456",2011-07-01,"2011","Total 65+",9845,"Census","All Households"
"24456",2011-07-01,"2011","Total",46935,"Census","All Households"
"24456",2016-07-01,"2016","0 - 14",7025,"Census","All Households"
"24456",2016-07-01,"2016","15 - 24",5175,"Census","All Households"
"24456",2016-07-01,"2016","25 - 34",5450,"Census","All Households"
"24456",2016-07-01,"2016","35 - 44",5345,"Census","All Households"
"24456",2016-07-01,"2016","45 - 54",6135,"Census","All Households"
"24456",2016-07-01,"2016","55 - 64",7845,"Census","All Households"
"24456",2016-07-01,"2016","Total 65+",10020,"Census","All Households"
"24456",2016-07-01,"2016","Total",46995,"Census","All Households"
"24456",2021-07-01,"2021","0 - 14",7640,"Census","All Households"
"24456",2021-07-01,"2021","15 - 24",4730,"Census","All Households"
"24456",2021-07-01,"2021","25 - 34",5650,"Census","All Households"
"24456",2021-07-01,"2021","35 - 44",5950,"Census","All Households"
"24456",2021-07-01,"2021","45 - 54",5445,"Census","All Households"
"24456",2021-07-01,"2021","55 - 64",7820,"Census","All Households"
"24456",2021-07-01,"2021","Total 65+",12930,"Census","All Households"
"24456",2021-07-01,"2021","Total",50165,"Census","All Households"
