"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"46640",2006-07-01,"2006","0 - 14",3615,"Census","All Households"
"46640",2006-07-01,"2006","15 - 24",2180,"Census","All Households"
"46640",2006-07-01,"2006","25 - 34",2075,"Census","All Households"
"46640",2006-07-01,"2006","35 - 44",2315,"Census","All Households"
"46640",2006-07-01,"2006","45 - 54",1910,"Census","All Households"
"46640",2006-07-01,"2006","55 - 64",1065,"Census","All Households"
"46640",2006-07-01,"2006","Total 65+",430,"Census","All Households"
"46640",2006-07-01,"2006","Total",13595,"Census","All Households"
"46640",2011-07-01,"2011","0 - 14",3175,"Census","All Households"
"46640",2011-07-01,"2011","15 - 24",2000,"Census","All Households"
"46640",2011-07-01,"2011","25 - 34",2105,"Census","All Households"
"46640",2011-07-01,"2011","35 - 44",1950,"Census","All Households"
"46640",2011-07-01,"2011","45 - 54",1935,"Census","All Households"
"46640",2011-07-01,"2011","55 - 64",1090,"Census","All Households"
"46640",2011-07-01,"2011","Total 65+",585,"Census","All Households"
"46640",2011-07-01,"2011","Total",12840,"Census","All Households"
"46640",2016-07-01,"2016","0 - 14",3455,"Census","All Households"
"46640",2016-07-01,"2016","15 - 24",1920,"Census","All Households"
"46640",2016-07-01,"2016","25 - 34",2320,"Census","All Households"
"46640",2016-07-01,"2016","35 - 44",1870,"Census","All Households"
"46640",2016-07-01,"2016","45 - 54",1910,"Census","All Households"
"46640",2016-07-01,"2016","55 - 64",1250,"Census","All Households"
"46640",2016-07-01,"2016","Total 65+",750,"Census","All Households"
"46640",2016-07-01,"2016","Total",13475,"Census","All Households"
"46640",2021-07-01,"2021","0 - 14",3355,"Census","All Households"
"46640",2021-07-01,"2021","15 - 24",1815,"Census","All Households"
"46640",2021-07-01,"2021","25 - 34",2120,"Census","All Households"
"46640",2021-07-01,"2021","35 - 44",1760,"Census","All Households"
"46640",2021-07-01,"2021","45 - 54",1535,"Census","All Households"
"46640",2021-07-01,"2021","55 - 64",1365,"Census","All Households"
"46640",2021-07-01,"2021","Total 65+",930,"Census","All Households"
"46640",2021-07-01,"2021","Total",12880,"Census","All Households"
