"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35527",2006-07-01,"2006","15 - 24",175,"Census","All Households"
"35527",2006-07-01,"2006","25 - 34",720,"Census","All Households"
"35527",2006-07-01,"2006","35 - 44",1210,"Census","All Households"
"35527",2006-07-01,"2006","45 - 54",1485,"Census","All Households"
"35527",2006-07-01,"2006","55 - 64",1200,"Census","All Households"
"35527",2006-07-01,"2006","Total 65+",2505,"Census","All Households"
"35527",2006-07-01,"2006","Total",7300,"Census","All Households"
"35527",2011-07-01,"2011","15 - 24",125,"Census","All Households"
"35527",2011-07-01,"2011","25 - 34",700,"Census","All Households"
"35527",2011-07-01,"2011","35 - 44",975,"Census","All Households"
"35527",2011-07-01,"2011","45 - 54",1600,"Census","All Households"
"35527",2011-07-01,"2011","55 - 64",1655,"Census","All Households"
"35527",2011-07-01,"2011","Total 65+",3000,"Census","All Households"
"35527",2011-07-01,"2011","Total",8045,"Census","All Households"
"35527",2016-07-01,"2016","15 - 24",125,"Census","All Households"
"35527",2016-07-01,"2016","25 - 34",735,"Census","All Households"
"35527",2016-07-01,"2016","35 - 44",1005,"Census","All Households"
"35527",2016-07-01,"2016","45 - 54",1330,"Census","All Households"
"35527",2016-07-01,"2016","55 - 64",1810,"Census","All Households"
"35527",2016-07-01,"2016","Total 65+",3635,"Census","All Households"
"35527",2016-07-01,"2016","Total",8640,"Census","All Households"
"35527",2021-07-01,"2021","15 - 24",95,"Census","All Households"
"35527",2021-07-01,"2021","25 - 34",775,"Census","All Households"
"35527",2021-07-01,"2021","35 - 44",1135,"Census","All Households"
"35527",2021-07-01,"2021","45 - 54",1070,"Census","All Households"
"35527",2021-07-01,"2021","55 - 64",1875,"Census","All Households"
"35527",2021-07-01,"2021","Total 65+",4180,"Census","All Households"
"35527",2021-07-01,"2021","Total",9135,"Census","All Households"
