"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"35575",2006-07-01,"2006","0 - 14",10475,"Census","All Households"
"35575",2006-07-01,"2006","15 - 24",9170,"Census","All Households"
"35575",2006-07-01,"2006","25 - 34",7025,"Census","All Households"
"35575",2006-07-01,"2006","35 - 44",9120,"Census","All Households"
"35575",2006-07-01,"2006","45 - 54",10040,"Census","All Households"
"35575",2006-07-01,"2006","55 - 64",7765,"Census","All Households"
"35575",2006-07-01,"2006","Total 65+",9840,"Census","All Households"
"35575",2006-07-01,"2006","Total",63425,"Census","All Households"
"35575",2011-07-01,"2011","0 - 14",9585,"Census","All Households"
"35575",2011-07-01,"2011","15 - 24",8905,"Census","All Households"
"35575",2011-07-01,"2011","25 - 34",7540,"Census","All Households"
"35575",2011-07-01,"2011","35 - 44",7660,"Census","All Households"
"35575",2011-07-01,"2011","45 - 54",10730,"Census","All Households"
"35575",2011-07-01,"2011","55 - 64",8740,"Census","All Households"
"35575",2011-07-01,"2011","Total 65+",10885,"Census","All Households"
"35575",2011-07-01,"2011","Total",64040,"Census","All Households"
"35575",2016-07-01,"2016","0 - 14",10490,"Census","All Households"
"35575",2016-07-01,"2016","15 - 24",8110,"Census","All Households"
"35575",2016-07-01,"2016","25 - 34",8260,"Census","All Households"
"35575",2016-07-01,"2016","35 - 44",7780,"Census","All Households"
"35575",2016-07-01,"2016","45 - 54",10290,"Census","All Households"
"35575",2016-07-01,"2016","55 - 64",10755,"Census","All Households"
"35575",2016-07-01,"2016","Total 65+",13035,"Census","All Households"
"35575",2016-07-01,"2016","Total",68710,"Census","All Households"
"35575",2021-07-01,"2021","0 - 14",10380,"Census","All Households"
"35575",2021-07-01,"2021","15 - 24",7705,"Census","All Households"
"35575",2021-07-01,"2021","25 - 34",8520,"Census","All Households"
"35575",2021-07-01,"2021","35 - 44",8325,"Census","All Households"
"35575",2021-07-01,"2021","45 - 54",8475,"Census","All Households"
"35575",2021-07-01,"2021","55 - 64",11680,"Census","All Households"
"35575",2021-07-01,"2021","Total 65+",15090,"Census","All Households"
"35575",2021-07-01,"2021","Total",70175,"Census","All Households"
