"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"35543",2006-07-01,"2006","15 - 24",1625,"Census","All Households"
"35543",2006-07-01,"2006","25 - 34",6475,"Census","All Households"
"35543",2006-07-01,"2006","35 - 44",9585,"Census","All Households"
"35543",2006-07-01,"2006","45 - 54",10720,"Census","All Households"
"35543",2006-07-01,"2006","55 - 64",8230,"Census","All Households"
"35543",2006-07-01,"2006","Total 65+",11210,"Census","All Households"
"35543",2006-07-01,"2006","Total",47850,"Census","All Households"
"35543",2011-07-01,"2011","15 - 24",1665,"Census","All Households"
"35543",2011-07-01,"2011","25 - 34",6760,"Census","All Households"
"35543",2011-07-01,"2011","35 - 44",9235,"Census","All Households"
"35543",2011-07-01,"2011","45 - 54",11675,"Census","All Households"
"35543",2011-07-01,"2011","55 - 64",10685,"Census","All Households"
"35543",2011-07-01,"2011","Total 65+",12705,"Census","All Households"
"35543",2011-07-01,"2011","Total",52725,"Census","All Households"
"35543",2016-07-01,"2016","15 - 24",1260,"Census","All Households"
"35543",2016-07-01,"2016","25 - 34",6895,"Census","All Households"
"35543",2016-07-01,"2016","35 - 44",8695,"Census","All Households"
"35543",2016-07-01,"2016","45 - 54",10645,"Census","All Households"
"35543",2016-07-01,"2016","55 - 64",10980,"Census","All Households"
"35543",2016-07-01,"2016","Total 65+",14060,"Census","All Households"
"35543",2016-07-01,"2016","Total",52530,"Census","All Households"
"35543",2021-07-01,"2021","15 - 24",1095,"Census","All Households"
"35543",2021-07-01,"2021","25 - 34",7110,"Census","All Households"
"35543",2021-07-01,"2021","35 - 44",9585,"Census","All Households"
"35543",2021-07-01,"2021","45 - 54",9950,"Census","All Households"
"35543",2021-07-01,"2021","55 - 64",11710,"Census","All Households"
"35543",2021-07-01,"2021","Total 65+",16555,"Census","All Households"
"35543",2021-07-01,"2021","Total",56000,"Census","All Households"
