"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"60990",2006-07-01,"2006","0 - 14",4365,"Census","All Households"
"60990",2006-07-01,"2006","15 - 24",3280,"Census","All Households"
"60990",2006-07-01,"2006","25 - 34",2880,"Census","All Households"
"60990",2006-07-01,"2006","35 - 44",3780,"Census","All Households"
"60990",2006-07-01,"2006","45 - 54",4360,"Census","All Households"
"60990",2006-07-01,"2006","55 - 64",2670,"Census","All Households"
"60990",2006-07-01,"2006","Total 65+",1575,"Census","All Households"
"60990",2006-07-01,"2006","Total",22905,"Census","All Households"
"60990",2011-07-01,"2011","0 - 14",4590,"Census","All Households"
"60990",2011-07-01,"2011","15 - 24",3530,"Census","All Households"
"60990",2011-07-01,"2011","25 - 34",3700,"Census","All Households"
"60990",2011-07-01,"2011","35 - 44",3835,"Census","All Households"
"60990",2011-07-01,"2011","45 - 54",4550,"Census","All Households"
"60990",2011-07-01,"2011","55 - 64",3635,"Census","All Households"
"60990",2011-07-01,"2011","Total 65+",2190,"Census","All Households"
"60990",2011-07-01,"2011","Total",26030,"Census","All Households"
"60990",2016-07-01,"2016","0 - 14",5000,"Census","All Households"
"60990",2016-07-01,"2016","15 - 24",3115,"Census","All Households"
"60990",2016-07-01,"2016","25 - 34",4410,"Census","All Households"
"60990",2016-07-01,"2016","35 - 44",4025,"Census","All Households"
"60990",2016-07-01,"2016","45 - 54",4015,"Census","All Households"
"60990",2016-07-01,"2016","55 - 64",4055,"Census","All Households"
"60990",2016-07-01,"2016","Total 65+",3040,"Census","All Households"
"60990",2016-07-01,"2016","Total",27655,"Census","All Households"
"60990",2021-07-01,"2021","0 - 14",5500,"Census","All Households"
"60990",2021-07-01,"2021","15 - 24",3375,"Census","All Households"
"60990",2021-07-01,"2021","25 - 34",5030,"Census","All Households"
"60990",2021-07-01,"2021","35 - 44",5085,"Census","All Households"
"60990",2021-07-01,"2021","45 - 54",4005,"Census","All Households"
"60990",2021-07-01,"2021","55 - 64",4185,"Census","All Households"
"60990",2021-07-01,"2021","Total 65+",4245,"Census","All Households"
"60990",2021-07-01,"2021","Total",31420,"Census","All Households"
