"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"59937",2006-07-01,"2006","15 - 24",520,"Census","All Households"
"59937",2006-07-01,"2006","25 - 34",1665,"Census","All Households"
"59937",2006-07-01,"2006","35 - 44",2840,"Census","All Households"
"59937",2006-07-01,"2006","45 - 54",3875,"Census","All Households"
"59937",2006-07-01,"2006","55 - 64",3250,"Census","All Households"
"59937",2006-07-01,"2006","Total 65+",4710,"Census","All Households"
"59937",2006-07-01,"2006","Total",16860,"Census","All Households"
"59937",2011-07-01,"2011","15 - 24",395,"Census","All Households"
"59937",2011-07-01,"2011","25 - 34",1895,"Census","All Households"
"59937",2011-07-01,"2011","35 - 44",2455,"Census","All Households"
"59937",2011-07-01,"2011","45 - 54",3880,"Census","All Households"
"59937",2011-07-01,"2011","55 - 64",3905,"Census","All Households"
"59937",2011-07-01,"2011","Total 65+",5295,"Census","All Households"
"59937",2011-07-01,"2011","Total",17815,"Census","All Households"
"59937",2016-07-01,"2016","15 - 24",330,"Census","All Households"
"59937",2016-07-01,"2016","25 - 34",1780,"Census","All Households"
"59937",2016-07-01,"2016","35 - 44",2410,"Census","All Households"
"59937",2016-07-01,"2016","45 - 54",3455,"Census","All Households"
"59937",2016-07-01,"2016","55 - 64",4135,"Census","All Households"
"59937",2016-07-01,"2016","Total 65+",6635,"Census","All Households"
"59937",2016-07-01,"2016","Total",18750,"Census","All Households"
"59937",2021-07-01,"2021","15 - 24",285,"Census","All Households"
"59937",2021-07-01,"2021","25 - 34",1825,"Census","All Households"
"59937",2021-07-01,"2021","35 - 44",2685,"Census","All Households"
"59937",2021-07-01,"2021","45 - 54",2910,"Census","All Households"
"59937",2021-07-01,"2021","55 - 64",4370,"Census","All Households"
"59937",2021-07-01,"2021","Total 65+",7955,"Census","All Households"
"59937",2021-07-01,"2021","Total",20030,"Census","All Households"
