"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"24403",2006-07-01,"2006","15 - 24",320,"Census","All Households"
"24403",2006-07-01,"2006","25 - 34",840,"Census","All Households"
"24403",2006-07-01,"2006","35 - 44",1170,"Census","All Households"
"24403",2006-07-01,"2006","45 - 54",1775,"Census","All Households"
"24403",2006-07-01,"2006","55 - 64",1575,"Census","All Households"
"24403",2006-07-01,"2006","Total 65+",1815,"Census","All Households"
"24403",2006-07-01,"2006","Total",7490,"Census","All Households"
"24403",2011-07-01,"2011","15 - 24",280,"Census","All Households"
"24403",2011-07-01,"2011","25 - 34",900,"Census","All Households"
"24403",2011-07-01,"2011","35 - 44",1110,"Census","All Households"
"24403",2011-07-01,"2011","45 - 54",1770,"Census","All Households"
"24403",2011-07-01,"2011","55 - 64",2015,"Census","All Households"
"24403",2011-07-01,"2011","Total 65+",2550,"Census","All Households"
"24403",2011-07-01,"2011","Total",8625,"Census","All Households"
"24403",2016-07-01,"2016","15 - 24",245,"Census","All Households"
"24403",2016-07-01,"2016","25 - 34",875,"Census","All Households"
"24403",2016-07-01,"2016","35 - 44",1070,"Census","All Households"
"24403",2016-07-01,"2016","45 - 54",1480,"Census","All Households"
"24403",2016-07-01,"2016","55 - 64",2105,"Census","All Households"
"24403",2016-07-01,"2016","Total 65+",2805,"Census","All Households"
"24403",2016-07-01,"2016","Total",8575,"Census","All Households"
"24403",2021-07-01,"2021","15 - 24",335,"Census","All Households"
"24403",2021-07-01,"2021","25 - 34",890,"Census","All Households"
"24403",2021-07-01,"2021","35 - 44",1160,"Census","All Households"
"24403",2021-07-01,"2021","45 - 54",1220,"Census","All Households"
"24403",2021-07-01,"2021","55 - 64",2075,"Census","All Households"
"24403",2021-07-01,"2021","Total 65+",3505,"Census","All Households"
"24403",2021-07-01,"2021","Total",9185,"Census","All Households"
