"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"59970",2006-07-01,"2006","0 - 14",15965,"Census","All Households"
"59970",2006-07-01,"2006","15 - 24",12355,"Census","All Households"
"59970",2006-07-01,"2006","25 - 34",10500,"Census","All Households"
"59970",2006-07-01,"2006","35 - 44",13010,"Census","All Households"
"59970",2006-07-01,"2006","45 - 54",13860,"Census","All Households"
"59970",2006-07-01,"2006","55 - 64",9665,"Census","All Households"
"59970",2006-07-01,"2006","Total 65+",7870,"Census","All Households"
"59970",2006-07-01,"2006","Total",83225,"Census","All Households"
"59970",2011-07-01,"2011","0 - 14",15025,"Census","All Households"
"59970",2011-07-01,"2011","15 - 24",11935,"Census","All Households"
"59970",2011-07-01,"2011","25 - 34",10830,"Census","All Households"
"59970",2011-07-01,"2011","35 - 44",11595,"Census","All Households"
"59970",2011-07-01,"2011","45 - 54",13770,"Census","All Households"
"59970",2011-07-01,"2011","55 - 64",11350,"Census","All Households"
"59970",2011-07-01,"2011","Total 65+",9740,"Census","All Households"
"59970",2011-07-01,"2011","Total",84230,"Census","All Households"
"59970",2016-07-01,"2016","0 - 14",15085,"Census","All Households"
"59970",2016-07-01,"2016","15 - 24",11290,"Census","All Households"
"59970",2016-07-01,"2016","25 - 34",11875,"Census","All Households"
"59970",2016-07-01,"2016","35 - 44",10945,"Census","All Households"
"59970",2016-07-01,"2016","45 - 54",12475,"Census","All Households"
"59970",2016-07-01,"2016","55 - 64",11955,"Census","All Households"
"59970",2016-07-01,"2016","Total 65+",11505,"Census","All Households"
"59970",2016-07-01,"2016","Total",85135,"Census","All Households"
"59970",2021-07-01,"2021","0 - 14",15060,"Census","All Households"
"59970",2021-07-01,"2021","15 - 24",10700,"Census","All Households"
"59970",2021-07-01,"2021","25 - 34",12620,"Census","All Households"
"59970",2021-07-01,"2021","35 - 44",11705,"Census","All Households"
"59970",2021-07-01,"2021","45 - 54",11430,"Census","All Households"
"59970",2021-07-01,"2021","55 - 64",12335,"Census","All Households"
"59970",2021-07-01,"2021","Total 65+",14065,"Census","All Households"
"59970",2021-07-01,"2021","Total",87915,"Census","All Households"
