"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"48821",2016-07-01,"2016","15 - 24",105,"Census","All Households"
"48821",2016-07-01,"2016","25 - 34",645,"Census","All Households"
"48821",2016-07-01,"2016","35 - 44",970,"Census","All Households"
"48821",2016-07-01,"2016","45 - 54",945,"Census","All Households"
"48821",2016-07-01,"2016","55 - 64",985,"Census","All Households"
"48821",2016-07-01,"2016","Total 65+",1715,"Census","All Households"
"48821",2016-07-01,"2016","Total",5370,"Census","All Households"
"48821",2021-07-01,"2021","15 - 24",95,"Census","All Households"
"48821",2021-07-01,"2021","25 - 34",555,"Census","All Households"
"48821",2021-07-01,"2021","35 - 44",985,"Census","All Households"
"48821",2021-07-01,"2021","45 - 54",900,"Census","All Households"
"48821",2021-07-01,"2021","55 - 64",1115,"Census","All Households"
"48821",2021-07-01,"2021","Total 65+",2140,"Census","All Households"
"48821",2021-07-01,"2021","Total",5785,"Census","All Households"
