"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"35505",2006-07-01,"2006","0 - 14",149940,"Census","All Households"
"35505",2006-07-01,"2006","15 - 24",117655,"Census","All Households"
"35505",2006-07-01,"2006","25 - 34",112925,"Census","All Households"
"35505",2006-07-01,"2006","35 - 44",135965,"Census","All Households"
"35505",2006-07-01,"2006","45 - 54",132585,"Census","All Households"
"35505",2006-07-01,"2006","55 - 64",93755,"Census","All Households"
"35505",2006-07-01,"2006","Total 65+",103975,"Census","All Households"
"35505",2006-07-01,"2006","Total",846805,"Census","All Households"
"35505",2011-07-01,"2011","0 - 14",155820,"Census","All Households"
"35505",2011-07-01,"2011","15 - 24",129445,"Census","All Households"
"35505",2011-07-01,"2011","25 - 34",123250,"Census","All Households"
"35505",2011-07-01,"2011","35 - 44",130320,"Census","All Households"
"35505",2011-07-01,"2011","45 - 54",149270,"Census","All Households"
"35505",2011-07-01,"2011","55 - 64",112990,"Census","All Households"
"35505",2011-07-01,"2011","Total 65+",120725,"Census","All Households"
"35505",2011-07-01,"2011","Total",921820,"Census","All Households"
"35505",2016-07-01,"2016","0 - 14",165725,"Census","All Households"
"35505",2016-07-01,"2016","15 - 24",131500,"Census","All Households"
"35505",2016-07-01,"2016","25 - 34",130640,"Census","All Households"
"35505",2016-07-01,"2016","35 - 44",128745,"Census","All Households"
"35505",2016-07-01,"2016","45 - 54",147450,"Census","All Households"
"35505",2016-07-01,"2016","55 - 64",129005,"Census","All Households"
"35505",2016-07-01,"2016","Total 65+",140285,"Census","All Households"
"35505",2016-07-01,"2016","Total",973340,"Census","All Households"
"35505",2021-07-01,"2021","0 - 14",186910,"Census","All Households"
"35505",2021-07-01,"2021","15 - 24",141735,"Census","All Households"
"35505",2021-07-01,"2021","25 - 34",155870,"Census","All Households"
"35505",2021-07-01,"2021","35 - 44",149060,"Census","All Households"
"35505",2021-07-01,"2021","45 - 54",147520,"Census","All Households"
"35505",2021-07-01,"2021","55 - 64",152835,"Census","All Households"
"35505",2021-07-01,"2021","Total 65+",182865,"Census","All Households"
"35505",2021-07-01,"2021","Total",1116800,"Census","All Households"
